,helicopter_psi,helicopter_theta
419,1.7289,-0.43058
420,1.7087,-0.4237
421,1.703,-0.42208
422,1.7322,-0.42977
423,1.7184,-0.42613
424,1.7322,-0.42451000000000005
425,1.7233,-0.42127
426,1.7314,-0.4241
427,1.7095,-0.41762
428,1.7233,-0.42167
429,1.7046,-0.41681999999999997
430,1.7079,-0.41762
431,1.7168,-0.41923999999999995
432,1.7063,-0.41478999999999994
433,1.7087,-0.41398
434,1.7022,-0.4156
435,1.7281,-0.42248
436,1.7127,-0.41358
437,1.7192,-0.42046000000000006
438,1.7289,-0.42491
439,1.7224,-0.42127
440,1.7224,-0.42127
441,1.7022,-0.41478999999999994
442,1.7281,-0.41884
443,1.7249,-0.4156
444,1.7071,-0.40791
445,1.7322,-0.41843
446,1.7022,-0.40953
447,1.7152,-0.40953
448,1.7111,-0.4075
449,1.7297,-0.41681999999999997
450,1.72,-0.41398
451,1.7216,-0.41398
452,1.703,-0.40993
453,1.7014,-0.40953
454,1.7046,-0.40912
455,1.7224,-0.41196000000000005
456,1.7038,-0.40467
457,1.7103,-0.40548
458,1.7103,-0.40548
459,1.7273,-0.41155
460,1.7143,-0.40629
461,1.7273,-0.41034
462,1.7216,-0.40871999999999997
463,1.7322,-0.41196000000000005
464,1.7152,-0.4071
465,1.703,-0.40305
466,1.7054,-0.40426999999999996
467,1.7224,-0.40912
468,1.7192,-0.4075
469,1.7297,-0.41115
470,1.7208,-0.40871999999999997
471,1.7265,-0.41115
472,1.7297,-0.41236000000000006
473,1.7257,-0.40993
474,1.7046,-0.40426999999999996
475,1.7071,-0.40508
476,1.7071,-0.40508
477,1.7241,-0.40912
478,1.7054,-0.40467
479,1.7184,-0.40791
480,1.7297,-0.41236000000000006
481,1.7119,-0.40103
482,1.7297,-0.40791
483,1.7216,-0.40224
484,1.7322,-0.40589000000000003
485,1.7095,-0.39941
486,1.7314,-0.40467
487,1.7135,-0.40021999999999996
488,1.7119,-0.39496
489,1.7119,-0.39981
490,1.7054,-0.39819
491,1.7249,-0.40386
492,1.72,-0.40265
493,1.733,-0.40548
494,1.7022,-0.39738
495,1.7022,-0.39779000000000003
496,1.7022,-0.39738
497,1.7241,-0.40346
498,1.7095,-0.39941
499,1.7273,-0.40386
500,1.7127,-0.39616999999999997
501,1.7152,-0.39698
502,1.7281,-0.40508
503,1.7281,-0.40508
504,1.7103,-0.39536
505,1.7176,-0.39941
506,1.7216,-0.40305
507,1.7095,-0.38929
508,1.703,-0.39091
509,1.7216,-0.39536
510,1.7314,-0.39899999999999997
511,1.7071,-0.38969000000000004
512,1.7135,-0.39455
513,1.7241,-0.39738
514,1.7273,-0.39941
515,1.7038,-0.39131
516,1.7127,-0.39415
517,1.7216,-0.39658000000000004
518,1.7103,-0.39334
519,1.7281,-0.39819
520,1.7192,-0.38969000000000004
521,1.7192,-0.38969000000000004
522,1.7241,-0.39171999999999996
523,1.7216,-0.38969000000000004
524,1.7249,-0.39211999999999997
525,1.7249,-0.39091
526,1.716,-0.38929
527,1.7071,-0.38361999999999996
528,1.7168,-0.38645999999999997
529,1.7135,-0.38848
530,1.7265,-0.39171999999999996
531,1.716,-0.38605
532,1.7111,-0.38727
533,1.7087,-0.38686
534,1.7079,-0.37674
535,1.7127,-0.382
536,1.7103,-0.38119000000000003
537,1.7322,-0.38766999999999996
538,1.7184,-0.38322
539,1.7184,-0.38322
540,1.7281,-0.38806999999999997
541,1.7111,-0.37715
542,1.7314,-0.38727
543,1.7168,-0.382
544,1.7054,-0.37390999999999996
545,1.7289,-0.38281
546,1.7216,-0.37876
547,1.7046,-0.37148000000000003
548,1.703,-0.3735
549,1.7038,-0.37229
550,1.7079,-0.37472
551,1.7233,-0.37876
552,1.7208,-0.37634
553,1.7249,-0.37956999999999996
554,1.7241,-0.3731
555,1.7216,-0.37229
556,1.7054,-0.365
557,1.7168,-0.37026
558,1.7289,-0.37431
559,1.7208,-0.37148000000000003
560,1.7168,-0.36864
561,1.7224,-0.37188000000000004
562,1.7087,-0.3646
563,1.703,-0.36175999999999997
564,1.7071,-0.35893
565,1.7322,-0.36985999999999997
566,1.7322,-0.36985999999999997
567,1.7127,-0.35974
568,1.7119,-0.35893
569,1.703,-0.35974
570,1.7168,-0.3646
571,1.7273,-0.37026
572,1.7143,-0.36419
573,1.7289,-0.37067
574,1.7087,-0.35691
575,1.7046,-0.35488000000000003
576,1.7281,-0.36217
577,1.7152,-0.35569
578,1.7192,-0.35771
579,1.7111,-0.35731
580,1.7289,-0.36217
581,1.7054,-0.35529
582,1.7095,-0.35043
583,1.7176,-0.35286
584,1.7176,-0.35286
585,1.7087,-0.34962
586,1.7152,-0.35205
587,1.7233,-0.35488000000000003
588,1.7257,-0.3565
589,1.7265,-0.35731
590,1.72,-0.35326
591,1.7273,-0.35731
592,1.7119,-0.34679
593,1.716,-0.35002
594,1.7176,-0.34557
595,1.7127,-0.34517
596,1.7111,-0.34476
597,1.7241,-0.34962
598,1.7103,-0.34436
599,1.7168,-0.34638
600,1.7192,-0.34638
601,1.7038,-0.34233
602,1.7038,-0.34233
603,1.7111,-0.34071
604,1.7281,-0.34962
605,1.7249,-0.35002
606,1.7273,-0.35164
607,1.7281,-0.34679
608,1.716,-0.34031
609,1.716,-0.34031
610,1.7241,-0.34193
611,1.716,-0.3395
612,1.7273,-0.34517
613,1.7281,-0.34436
614,1.7168,-0.33909
615,1.7322,-0.34598
616,1.7135,-0.3395
617,1.7224,-0.34193
618,1.7224,-0.34193
619,1.7152,-0.34031
620,1.7103,-0.33788
621,1.7192,-0.34112
622,1.7233,-0.34314
623,1.7322,-0.34476
624,1.7063,-0.33424
625,1.7127,-0.331
626,1.7143,-0.33343
627,1.7095,-0.33181
628,1.7257,-0.33828
629,1.7257,-0.33828
630,1.7095,-0.33221
631,1.7208,-0.33586
632,1.7257,-0.33828
633,1.7249,-0.33666999999999997
634,1.7305,-0.34031
635,1.7281,-0.33788
636,1.7322,-0.3395
637,1.7152,-0.33343
638,1.7176,-0.33181
639,1.7014,-0.32938
640,1.7127,-0.32938
641,1.7143,-0.33302
642,1.7014,-0.32938
643,1.7022,-0.32857
644,1.7095,-0.33181
645,1.7273,-0.33909
646,1.7216,-0.33586
647,1.7216,-0.33586
648,1.7241,-0.33666999999999997
649,1.7079,-0.32735
650,1.7111,-0.32897
651,1.7257,-0.33666999999999997
652,1.7184,-0.33383
