,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-dual_fuel
296,254.0,4399.0,827.0,3686.0,3543.0,3800.0
297,255.0,4399.0,835.0,3701.0,3530.0,3817.0
298,252.0,4398.0,845.0,3696.0,3549.0,3832.0
299,256.0,4399.0,842.0,3696.0,3551.0,3820.0
300,256.0,4399.0,842.0,3696.0,3551.0,3820.0
301,260.0,4397.0,815.0,3709.0,3602.0,3813.0
302,259.0,4398.0,804.0,3704.0,3611.0,3792.0
303,262.0,4397.0,793.0,3716.0,3616.0,3762.0
304,263.0,4400.0,803.0,3703.0,3628.0,3757.0
305,264.0,4400.0,812.0,3697.0,3633.0,3744.0
306,259.0,4398.0,816.0,3702.0,3641.0,3749.0
307,258.0,4399.0,821.0,3659.0,3631.0,3753.0
308,258.0,4399.0,821.0,3659.0,3631.0,3753.0
309,252.0,4399.0,791.0,3631.0,3583.0,3790.0
310,252.0,4399.0,779.0,3635.0,3584.0,3812.0
311,255.0,4400.0,779.0,3657.0,3586.0,3832.0
312,255.0,4400.0,779.0,3657.0,3586.0,3832.0
313,255.0,4400.0,779.0,3657.0,3586.0,3832.0
314,259.0,4398.0,802.0,3603.0,3524.0,3876.0
315,259.0,4398.0,802.0,3603.0,3524.0,3876.0
316,263.0,4399.0,803.0,3614.0,3468.0,3907.0
317,264.0,4399.0,811.0,3615.0,3404.0,3934.0
318,264.0,4399.0,811.0,3615.0,3404.0,3934.0
319,261.0,4399.0,811.0,3604.0,3345.0,3977.0
320,263.0,4399.0,832.0,3587.0,3333.0,3968.0
321,264.0,4401.0,838.0,3606.0,3320.0,3966.0
322,262.0,4402.0,851.0,3598.0,3331.0,3973.0
323,262.0,4402.0,851.0,3598.0,3331.0,3973.0
324,262.0,4402.0,851.0,3598.0,3331.0,3973.0
325,262.0,4401.0,886.0,3522.0,3284.0,3967.0
326,264.0,4401.0,874.0,3536.0,3276.0,3988.0
327,266.0,4400.0,876.0,3539.0,3291.0,4010.0
328,264.0,4399.0,883.0,3548.0,3294.0,3974.0
329,268.0,4399.0,879.0,3552.0,3302.0,3957.0
330,268.0,4399.0,879.0,3552.0,3302.0,3957.0
331,263.0,4399.0,873.0,3545.0,3274.0,3994.0
332,265.0,4400.0,876.0,3522.0,3306.0,3991.0
333,260.0,4398.0,891.0,3523.0,3337.0,3985.0
334,261.0,4399.0,904.0,3520.0,3337.0,3936.0
335,261.0,4399.0,904.0,3520.0,3337.0,3936.0
336,267.0,4400.0,910.0,3519.0,3295.0,3912.0
337,267.0,4400.0,910.0,3519.0,3295.0,3912.0
338,266.0,4399.0,908.0,3519.0,3241.0,3940.0
339,266.0,4399.0,908.0,3519.0,3241.0,3940.0
340,262.0,4398.0,909.0,3555.0,3217.0,3950.0
341,266.0,4399.0,899.0,3560.0,3202.0,3936.0
342,266.0,4399.0,904.0,3586.0,3220.0,3874.0
343,265.0,4397.0,929.0,3583.0,3248.0,3824.0
344,262.0,4397.0,939.0,3585.0,3254.0,3839.0
345,261.0,4397.0,942.0,3586.0,3206.0,3874.0
346,261.0,4397.0,942.0,3586.0,3206.0,3874.0
347,259.0,4398.0,931.0,3587.0,3206.0,3911.0
348,259.0,4398.0,915.0,3587.0,3180.0,3966.0
349,259.0,4398.0,908.0,3586.0,3172.0,4000.0
350,256.0,4398.0,937.0,3563.0,3168.0,3980.0
351,263.0,4399.0,966.0,3597.0,3156.0,3971.0
352,261.0,4398.0,964.0,3568.0,3137.0,4014.0
353,261.0,4398.0,964.0,3568.0,3137.0,4014.0
354,258.0,4398.0,939.0,3481.0,3129.0,4103.0
355,258.0,4398.0,939.0,3481.0,3129.0,4103.0
356,262.0,4398.0,918.0,3451.0,3129.0,4058.0
357,260.0,4400.0,925.0,3461.0,3124.0,4012.0
358,261.0,4399.0,929.0,3502.0,3126.0,3968.0
359,264.0,4398.0,938.0,3546.0,3124.0,3903.0
360,263.0,4398.0,977.0,3568.0,3108.0,3882.0
361,261.0,4399.0,1009.0,3557.0,3088.0,3876.0
362,261.0,4399.0,1009.0,3557.0,3088.0,3876.0
363,261.0,4399.0,1009.0,3557.0,3088.0,3876.0
364,256.0,4399.0,1008.0,3547.0,3189.0,4093.0
365,256.0,4399.0,1008.0,3547.0,3189.0,4093.0
366,254.0,4400.0,1039.0,3545.0,3190.0,4198.0
367,254.0,4399.0,1047.0,3506.0,3193.0,4232.0
368,255.0,4396.0,1072.0,3554.0,3192.0,4255.0
369,258.0,4399.0,1108.0,3484.0,3190.0,4259.0
370,255.0,4399.0,1102.0,3558.0,3191.0,4234.0
371,257.0,4398.0,1097.0,3571.0,3192.0,4263.0
372,255.0,4397.0,1113.0,3615.0,3217.0,4316.0
373,255.0,4397.0,1113.0,3615.0,3217.0,4316.0
374,258.0,4399.0,1109.0,3610.0,3245.0,4391.0
375,258.0,4399.0,1109.0,3610.0,3245.0,4391.0
376,258.0,4398.0,1055.0,3658.0,3285.0,4329.0
377,255.0,4398.0,1053.0,3740.0,3280.0,4357.0
378,262.0,4397.0,1067.0,3740.0,3279.0,4383.0
379,264.0,4397.0,1025.0,3735.0,3278.0,4417.0
380,270.0,4399.0,1009.0,3755.0,3275.0,4454.0
381,270.0,4398.0,995.0,3719.0,3271.0,4501.0
382,270.0,4398.0,995.0,3719.0,3271.0,4501.0
383,267.0,4398.0,1002.0,3735.0,3271.0,4486.0
384,262.0,4397.0,1008.0,3737.0,3286.0,4448.0
385,255.0,4399.0,997.0,3692.0,3307.0,4430.0
386,258.0,4398.0,999.0,3620.0,3315.0,4381.0
387,264.0,4399.0,982.0,3592.0,3336.0,4360.0
388,266.0,4398.0,938.0,3666.0,3390.0,4272.0
389,265.0,4399.0,903.0,3629.0,3385.0,4298.0
390,265.0,4399.0,903.0,3629.0,3385.0,4298.0
391,262.0,4396.0,886.0,3682.0,3415.0,4275.0
392,262.0,4396.0,886.0,3682.0,3415.0,4275.0
393,261.0,4398.0,858.0,3687.0,3433.0,4216.0
394,261.0,4398.0,858.0,3687.0,3433.0,4216.0
395,261.0,4398.0,851.0,3662.0,3416.0,4191.0
396,264.0,4397.0,809.0,3676.0,3418.0,4123.0
