,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
560,54.0,29.0
561,48.0,24.0
562,49.0,29.0
563,59.0,25.0
564,46.0,22.0
565,59.0,24.0
566,55.0,26.0
567,56.0,24.0
568,59.0,13.0
569,53.0,33.0
570,63.0,29.0
571,47.0,22.0
572,54.0,31.0
573,59.0,25.0
574,58.0,21.0
575,47.0,27.0
576,49.0,31.0
577,40.0,29.0
578,49.0,27.0
579,39.0,29.0
580,48.0,22.0
581,49.0,26.0
582,52.0,20.0
583,53.0,18.0
584,43.0,20.0
585,39.0,18.0
586,65.0,28.0
587,42.0,23.0
588,36.0,27.0
589,52.0,21.0
590,50.0,22.0
591,43.0,18.0
592,52.0,19.0
593,52.0,20.0
594,53.0,28.0
595,65.0,21.0
596,55.0,31.0
597,55.0,22.0
598,60.0,24.0
599,57.0,26.0
600,42.0,19.0
601,61.0,21.0
602,53.0,20.0
603,37.0,23.0
604,42.0,31.0
605,49.0,25.0
606,49.0,16.0
607,46.0,20.0
608,53.0,22.0
609,49.0,21.0
610,50.0,15.0
611,43.0,18.0
612,53.0,31.0
613,49.0,17.0
614,48.0,25.0
615,55.0,22.0
616,53.0,19.0
617,47.0,21.0
618,50.0,21.0
619,72.0,16.0
620,44.0,21.0
621,45.0,16.0
622,39.0,21.0
623,57.0,15.0
624,65.0,31.0
625,49.0,23.0
626,47.0,22.0
627,53.0,16.0
628,45.0,27.0
629,37.0,16.0
630,42.0,21.0
631,65.0,25.0
632,54.0,25.0
633,62.0,20.0
634,48.0,22.0
635,60.0,18.0
636,44.0,18.0
637,45.0,19.0
638,50.0,18.0
639,60.0,19.0
640,64.0,22.0
641,54.0,26.0
642,47.0,22.0
643,50.0,23.0
644,51.0,19.0
645,46.0,18.0
646,55.0,22.0
647,47.0,20.0
648,53.0,25.0
649,40.0,18.0
650,52.0,26.0
651,56.0,16.0
652,41.0,18.0
653,53.0,19.0
654,56.0,16.0
655,50.0,14.0
656,52.0,20.0
657,48.0,25.0
658,50.0,20.0
659,56.0,16.0
660,54.0,26.0
661,64.0,29.0
662,48.0,17.0
663,52.0,29.0
664,56.0,26.0
665,53.0,18.0
666,50.0,21.0
667,44.0,16.0
668,51.0,22.0
669,50.0,14.0
670,60.0,12.0
671,49.0,20.0
672,40.0,17.0
673,60.0,20.0
674,44.0,17.0
675,56.0,20.0
676,54.0,29.0
677,40.0,22.0
678,48.0,24.0
679,53.0,23.0
680,38.0,27.0
681,40.0,21.0
682,46.0,20.0
683,50.0,26.0
684,43.0,17.0
685,45.0,26.0
686,50.0,21.0
687,52.0,25.0
688,45.0,16.0
689,61.0,15.0
690,52.0,16.0
691,48.0,26.0
692,43.0,24.0
693,42.0,21.0
694,49.0,16.0
695,53.0,28.0
696,38.0,18.0
697,46.0,14.0
698,58.0,16.0
699,55.0,23.0
700,52.0,28.0
701,67.0,23.0
702,55.0,27.0
703,64.0,23.0
704,49.0,24.0
705,55.0,25.0
706,49.0,20.0
707,47.0,27.0
708,56.0,29.0
709,54.0,16.0
710,45.0,24.0
711,44.0,18.0
712,57.0,19.0
713,48.0,25.0
714,47.0,24.0
715,52.0,24.0
716,54.0,24.0
717,45.0,20.0
718,52.0,17.0
719,43.0,30.0
720,47.0,22.0
721,38.0,17.0
722,52.0,24.0
723,60.0,21.0
724,55.0,21.0
725,72.0,20.0
726,42.0,21.0
727,50.0,21.0
728,56.0,15.0
729,61.0,24.0
730,61.0,18.0
731,55.0,21.0
732,44.0,25.0
733,49.0,20.0
734,44.0,17.0
735,58.0,21.0
736,55.0,28.0
737,42.0,16.0
738,39.0,17.0
739,52.0,23.0
740,53.0,20.0
741,59.0,16.0
742,41.0,18.0
743,52.0,22.0
744,42.0,19.0
745,43.0,25.0
746,38.0,20.0
747,56.0,22.0
748,55.0,20.0
749,52.0,19.0
750,51.0,23.0
751,49.0,23.0
752,64.0,20.0
753,39.0,27.0
754,47.0,17.0
755,52.0,26.0
756,36.0,22.0
757,53.0,27.0
758,40.0,29.0
759,44.0,24.0
760,49.0,18.0
761,67.0,19.0
762,54.0,12.0
763,44.0,10.0
764,38.0,20.0
765,56.0,20.0
766,49.0,13.0
767,45.0,23.0
768,37.0,22.0
769,33.0,23.0
770,42.0,16.0
771,50.0,14.0
772,46.0,19.0
773,53.0,22.0
774,39.0,14.0
775,46.0,20.0
776,45.0,23.0
777,43.0,18.0
778,49.0,13.0
779,31.0,25.0
780,45.0,22.0
781,50.0,24.0
