,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
785,70.0,13.0,13.0
786,70.0,13.0,13.0
787,88.0,12.0,12.0
788,88.0,12.0,12.0
789,102.0,8.0,15.0
790,102.0,8.0,15.0
791,162.0,13.0,14.0
792,162.0,13.0,14.0
793,144.0,18.0,15.0
794,144.0,18.0,15.0
795,97.0,12.0,20.0
796,97.0,12.0,20.0
797,96.0,10.0,21.0
798,96.0,10.0,21.0
799,95.0,13.0,23.0
800,95.0,13.0,23.0
801,97.0,10.0,17.0
802,97.0,10.0,17.0
803,133.0,9.0,11.0
804,133.0,9.0,11.0
805,115.0,11.0,14.0
806,115.0,11.0,14.0
807,105.0,38.0,21.0
808,105.0,38.0,21.0
809,120.0,19.0,15.0
810,120.0,19.0,15.0
811,174.0,7.0,13.0
812,174.0,7.0,13.0
813,147.0,13.0,16.0
814,147.0,13.0,16.0
815,158.0,10.0,21.0
816,158.0,10.0,21.0
817,180.0,5.0,20.0
818,180.0,5.0,20.0
819,249.0,5.0,10.0
820,249.0,5.0,10.0
821,278.0,26.0,1.0
822,278.0,26.0,1.0
823,215.0,46.0,1.0
824,215.0,46.0,1.0
825,220.0,61.0,2.0
826,220.0,61.0,2.0
827,178.0,104.0,2.0
828,178.0,104.0,2.0
829,196.0,104.0,0.0
830,196.0,104.0,0.0
831,227.0,0.0,27.0
832,227.0,0.0,27.0
833,200.0,0.0,0.0
834,200.0,0.0,0.0
835,192.0,0.0,0.0
836,192.0,0.0,0.0
837,223.0,1.0,0.0
838,223.0,1.0,0.0
839,171.0,1.0,0.0
840,171.0,1.0,0.0
841,190.0,0.0,0.0
842,190.0,0.0,0.0
843,245.0,0.0,0.0
844,245.0,0.0,0.0
845,184.0,0.0,6.0
846,184.0,0.0,6.0
847,214.0,0.0,6.0
848,214.0,0.0,6.0
849,216.0,0.0,0.0
850,216.0,0.0,0.0
851,452.0,0.0,0.0
852,452.0,0.0,0.0
853,276.0,0.0,8.0
854,276.0,0.0,8.0
855,114.0,1.0,10.0
856,114.0,1.0,10.0
857,95.0,1.0,21.0
858,95.0,1.0,21.0
859,170.0,5.0,35.0
860,170.0,5.0,35.0
861,165.0,10.0,53.0
862,165.0,10.0,53.0
863,138.0,19.0,74.0
864,138.0,19.0,74.0
865,156.0,38.0,78.0
866,156.0,38.0,78.0
867,179.0,36.0,68.0
868,179.0,36.0,68.0
869,139.0,45.0,52.0
870,139.0,45.0,52.0
871,130.0,48.0,61.0
872,130.0,48.0,61.0
873,133.0,61.0,4.0
874,133.0,61.0,4.0
875,93.0,67.0,7.0
876,93.0,67.0,7.0
877,98.0,73.0,8.0
878,98.0,73.0,8.0
879,108.0,58.0,13.0
880,108.0,58.0,13.0
881,145.0,58.0,15.0
882,145.0,58.0,15.0
883,180.0,70.0,14.0
884,180.0,70.0,14.0
885,167.0,53.0,13.0
886,167.0,53.0,13.0
887,178.0,43.0,13.0
888,178.0,43.0,13.0
889,204.0,25.0,19.0
890,204.0,25.0,19.0
891,218.0,18.0,30.0
892,218.0,18.0,30.0
893,204.0,15.0,55.0
894,204.0,15.0,55.0
895,243.0,6.0,76.0
896,243.0,6.0,76.0
897,218.0,8.0,51.0
898,218.0,8.0,51.0
