,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-nuclear
277,252.0,4503.0,127.0,71.0,2980.0,6984.0,3270.0
278,254.0,4420.0,131.0,71.0,3003.0,7005.0,3270.0
279,252.0,4387.0,132.0,71.0,3090.0,6969.0,3269.0
280,255.0,4427.0,136.0,71.0,3136.0,6991.0,3272.0
281,254.0,4479.0,143.0,71.0,3053.0,7148.0,3271.0
282,253.0,4512.0,138.0,70.0,3047.0,7197.0,3270.0
283,250.0,4493.0,139.0,70.0,3077.0,7215.0,3270.0
284,251.0,4478.0,142.0,70.0,3137.0,7160.0,3269.0
285,255.0,4517.0,140.0,70.0,3175.0,7164.0,3271.0
286,260.0,4592.0,148.0,70.0,3188.0,7246.0,3273.0
287,259.0,4753.0,154.0,70.0,3191.0,7263.0,3272.0
288,260.0,4868.0,158.0,70.0,3227.0,7239.0,3269.0
289,256.0,4983.0,157.0,69.0,3254.0,7184.0,3270.0
290,256.0,5093.0,148.0,72.0,3164.0,7133.0,3270.0
291,253.0,5171.0,143.0,111.0,3154.0,7099.0,3271.0
292,257.0,5218.0,139.0,115.0,3099.0,7124.0,3272.0
293,259.0,5295.0,142.0,116.0,3048.0,7171.0,3271.0
294,261.0,5311.0,142.0,115.0,3051.0,7166.0,3271.0
295,257.0,5373.0,146.0,115.0,3079.0,7200.0,3272.0
296,256.0,5414.0,142.0,114.0,3142.0,7204.0,3273.0
297,257.0,5434.0,138.0,115.0,3159.0,7259.0,3275.0
298,257.0,5456.0,141.0,115.0,3115.0,7378.0,3273.0
299,259.0,5454.0,140.0,116.0,3080.0,7562.0,3276.0
300,257.0,5494.0,144.0,115.0,2994.0,7617.0,3273.0
301,256.0,5527.0,150.0,115.0,3009.0,7686.0,3274.0
302,258.0,5522.0,146.0,115.0,3074.0,7772.0,3274.0
303,262.0,5519.0,118.0,115.0,3177.0,7811.0,3275.0
304,264.0,5483.0,117.0,115.0,3235.0,7872.0,3275.0
305,263.0,5420.0,119.0,116.0,3356.0,7880.0,3274.0
306,263.0,5406.0,131.0,116.0,3370.0,7898.0,3276.0
307,263.0,5411.0,143.0,116.0,3392.0,7979.0,3277.0
308,264.0,5476.0,135.0,116.0,3436.0,8057.0,3275.0
309,266.0,5541.0,137.0,96.0,3414.0,8123.0,3277.0
310,266.0,5639.0,143.0,67.0,3422.0,8195.0,3280.0
311,265.0,5613.0,141.0,71.0,3494.0,8128.0,3278.0
312,266.0,5594.0,140.0,72.0,3521.0,8120.0,3278.0
313,267.0,5668.0,129.0,72.0,3514.0,8259.0,3277.0
314,268.0,5662.0,130.0,72.0,3537.0,8364.0,3276.0
315,269.0,5706.0,131.0,72.0,3432.0,8567.0,3277.0
316,267.0,5752.0,138.0,72.0,3351.0,8726.0,3275.0
317,268.0,5793.0,136.0,72.0,3255.0,8876.0,3278.0
318,270.0,5815.0,133.0,72.0,3228.0,8939.0,3278.0
319,269.0,5842.0,132.0,72.0,3350.0,8991.0,3276.0
320,267.0,5863.0,133.0,75.0,3428.0,8987.0,3277.0
321,267.0,5869.0,135.0,79.0,3473.0,8995.0,3277.0
322,265.0,5855.0,144.0,79.0,3468.0,9006.0,3276.0
323,267.0,5848.0,155.0,78.0,3414.0,9101.0,3273.0
324,268.0,5885.0,154.0,79.0,3366.0,9079.0,3274.0
325,268.0,5885.0,154.0,79.0,3366.0,9079.0,3274.0
326,267.0,5973.0,186.0,155.0,3585.0,9141.0,3276.0
327,267.0,5964.0,187.0,158.0,3568.0,9135.0,3275.0
328,268.0,5971.0,178.0,170.0,3605.0,9146.0,3277.0
329,268.0,5975.0,164.0,261.0,3572.0,9118.0,3275.0
330,268.0,5983.0,163.0,283.0,3573.0,9106.0,3278.0
331,267.0,5979.0,154.0,320.0,3621.0,9142.0,3276.0
332,265.0,5932.0,155.0,368.0,3659.0,9118.0,3276.0
333,265.0,5976.0,154.0,369.0,3660.0,9152.0,3276.0
334,266.0,5919.0,144.0,370.0,3598.0,9189.0,3274.0
335,268.0,5826.0,138.0,371.0,3392.0,9204.0,3274.0
336,266.0,5805.0,148.0,375.0,3309.0,9174.0,3277.0
337,262.0,5854.0,138.0,371.0,3210.0,9170.0,3276.0
338,263.0,5899.0,132.0,371.0,3244.0,9191.0,3275.0
339,259.0,5922.0,121.0,371.0,3235.0,9205.0,3274.0
340,259.0,5922.0,121.0,371.0,3235.0,9205.0,3274.0
341,262.0,5903.0,125.0,464.0,3403.0,9279.0,3277.0
342,260.0,5831.0,120.0,470.0,3452.0,9244.0,3275.0
343,261.0,5809.0,110.0,488.0,3532.0,9243.0,3275.0
344,259.0,5820.0,99.0,542.0,3478.0,9241.0,3275.0
345,260.0,5802.0,104.0,538.0,3454.0,9227.0,3276.0
346,262.0,5835.0,100.0,517.0,3430.0,9244.0,3275.0
