,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
386,142.0,76.0,301.0,65.0
387,179.0,60.0,334.0,61.0
388,191.0,58.0,321.0,46.0
389,186.0,71.0,333.0,53.0
390,174.0,76.0,307.0,59.0
391,171.0,85.0,338.0,59.0
392,172.0,74.0,320.0,62.0
393,168.0,66.0,413.0,56.0
394,169.0,74.0,363.0,63.0
395,178.0,79.0,382.0,52.0
396,145.0,50.0,309.0,56.0
397,144.0,69.0,273.0,40.0
398,158.0,76.0,314.0,46.0
399,154.0,65.0,309.0,44.0
400,188.0,65.0,305.0,47.0
401,175.0,59.0,310.0,57.0
402,167.0,70.0,329.0,45.0
403,157.0,65.0,306.0,41.0
404,170.0,70.0,285.0,55.0
405,171.0,63.0,312.0,49.0
406,143.0,63.0,297.0,51.0
407,145.0,64.0,337.0,39.0
408,134.0,63.0,321.0,54.0
409,162.0,68.0,297.0,45.0
410,175.0,70.0,288.0,56.0
411,174.0,47.0,312.0,61.0
412,165.0,59.0,305.0,47.0
413,159.0,62.0,264.0,41.0
414,159.0,56.0,322.0,43.0
415,155.0,68.0,308.0,47.0
416,148.0,60.0,324.0,49.0
417,170.0,66.0,280.0,52.0
418,162.0,68.0,311.0,53.0
419,160.0,66.0,332.0,57.0
420,153.0,69.0,333.0,48.0
421,183.0,63.0,315.0,54.0
422,170.0,65.0,292.0,57.0
423,164.0,59.0,296.0,52.0
424,162.0,71.0,317.0,64.0
425,158.0,58.0,327.0,46.0
426,168.0,76.0,273.0,57.0
427,151.0,78.0,305.0,51.0
428,148.0,47.0,294.0,50.0
429,164.0,78.0,323.0,47.0
430,150.0,65.0,313.0,53.0
431,138.0,63.0,306.0,60.0
432,156.0,76.0,304.0,49.0
433,133.0,62.0,332.0,57.0
434,162.0,67.0,286.0,45.0
435,156.0,52.0,300.0,49.0
436,144.0,60.0,276.0,59.0
437,145.0,68.0,283.0,42.0
438,158.0,60.0,265.0,46.0
439,110.0,54.0,306.0,49.0
440,148.0,76.0,259.0,45.0
441,142.0,56.0,283.0,58.0
442,137.0,55.0,312.0,45.0
443,152.0,63.0,270.0,45.0
444,174.0,57.0,286.0,46.0
445,141.0,56.0,289.0,45.0
446,137.0,59.0,304.0,47.0
447,146.0,63.0,308.0,56.0
448,145.0,47.0,280.0,37.0
449,142.0,61.0,265.0,52.0
450,136.0,60.0,294.0,54.0
451,161.0,61.0,309.0,43.0
452,139.0,62.0,294.0,45.0
453,154.0,54.0,339.0,48.0
454,191.0,61.0,334.0,66.0
455,158.0,71.0,298.0,45.0
456,160.0,69.0,304.0,48.0
457,168.0,60.0,293.0,73.0
458,161.0,58.0,288.0,51.0
459,155.0,63.0,361.0,47.0
460,186.0,76.0,288.0,49.0
461,153.0,59.0,301.0,44.0
462,153.0,79.0,308.0,45.0
463,158.0,62.0,320.0,48.0
464,164.0,64.0,271.0,46.0
465,155.0,63.0,324.0,39.0
466,146.0,66.0,285.0,64.0
467,159.0,72.0,324.0,47.0
468,163.0,66.0,309.0,53.0
469,161.0,57.0,279.0,44.0
470,130.0,60.0,298.0,62.0
471,160.0,51.0,315.0,45.0
472,164.0,69.0,326.0,44.0
473,169.0,62.0,314.0,51.0
474,136.0,60.0,296.0,49.0
475,155.0,72.0,292.0,54.0
476,120.0,55.0,324.0,48.0
477,144.0,59.0,298.0,50.0
478,156.0,57.0,329.0,37.0
479,124.0,54.0,334.0,58.0
480,165.0,73.0,300.0,60.0
481,148.0,67.0,397.0,60.0
482,137.0,60.0,326.0,48.0
483,149.0,47.0,329.0,56.0
484,148.0,56.0,321.0,54.0
485,132.0,58.0,293.0,71.0
486,139.0,63.0,308.0,56.0
487,142.0,50.0,308.0,38.0
488,169.0,65.0,297.0,55.0
489,135.0,46.0,301.0,34.0
490,178.0,49.0,300.0,61.0
491,154.0,54.0,311.0,62.0
492,155.0,65.0,280.0,45.0
493,168.0,59.0,311.0,57.0
494,150.0,67.0,282.0,56.0
495,158.0,79.0,275.0,50.0
496,140.0,58.0,311.0,59.0
497,152.0,63.0,289.0,59.0
498,158.0,73.0,327.0,58.0
499,148.0,63.0,264.0,45.0
500,130.0,66.0,274.0,56.0
501,142.0,50.0,300.0,59.0
502,142.0,70.0,288.0,68.0
503,159.0,68.0,301.0,58.0
504,157.0,53.0,298.0,46.0
505,154.0,58.0,317.0,67.0
506,146.0,52.0,255.0,48.0
507,143.0,47.0,298.0,52.0
508,138.0,65.0,290.0,52.0
509,126.0,64.0,322.0,41.0
510,157.0,62.0,262.0,38.0
511,153.0,62.0,299.0,56.0
512,165.0,62.0,317.0,44.0
513,158.0,48.0,266.0,51.0
514,157.0,60.0,324.0,55.0
515,159.0,67.0,301.0,48.0
516,154.0,60.0,285.0,52.0
517,165.0,58.0,312.0,40.0
518,152.0,57.0,312.0,43.0
519,153.0,64.0,330.0,49.0
