,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
412,121.0,12.0,17.0
413,106.0,16.0,17.0
414,106.0,16.0,17.0
415,106.0,16.0,17.0
416,106.0,16.0,17.0
417,106.0,16.0,15.0
418,106.0,16.0,15.0
419,111.0,25.0,15.0
420,111.0,25.0,15.0
421,111.0,25.0,15.0
422,111.0,25.0,15.0
423,111.0,25.0,15.0
424,111.0,25.0,15.0
425,109.0,22.0,15.0
426,109.0,22.0,15.0
427,109.0,22.0,15.0
428,109.0,22.0,15.0
429,109.0,22.0,21.0
430,109.0,22.0,21.0
431,115.0,17.0,21.0
432,115.0,17.0,21.0
433,115.0,17.0,21.0
434,115.0,17.0,21.0
435,115.0,17.0,12.0
436,115.0,17.0,12.0
437,154.0,30.0,12.0
438,154.0,30.0,12.0
439,154.0,30.0,12.0
440,154.0,30.0,12.0
441,154.0,30.0,15.0
442,154.0,30.0,15.0
443,156.0,38.0,15.0
444,156.0,38.0,15.0
445,156.0,38.0,15.0
446,156.0,38.0,15.0
447,156.0,38.0,19.0
448,156.0,38.0,19.0
449,139.0,40.0,19.0
450,139.0,40.0,19.0
451,139.0,40.0,19.0
452,139.0,40.0,19.0
453,139.0,40.0,24.0
454,139.0,40.0,24.0
455,150.0,35.0,24.0
456,150.0,35.0,24.0
457,150.0,35.0,24.0
458,150.0,35.0,24.0
459,150.0,35.0,27.0
460,150.0,35.0,27.0
461,213.0,44.0,27.0
462,213.0,44.0,27.0
463,213.0,44.0,27.0
464,213.0,44.0,27.0
465,213.0,44.0,22.0
466,213.0,44.0,22.0
467,256.0,37.0,22.0
468,256.0,37.0,22.0
469,256.0,37.0,22.0
470,256.0,37.0,22.0
471,256.0,37.0,18.0
472,256.0,37.0,18.0
473,190.0,21.0,18.0
474,190.0,21.0,18.0
475,190.0,21.0,18.0
476,190.0,21.0,18.0
477,190.0,21.0,23.0
478,190.0,21.0,23.0
479,187.0,21.0,23.0
480,187.0,21.0,23.0
481,187.0,21.0,23.0
482,187.0,21.0,23.0
483,187.0,21.0,12.0
484,220.0,21.0,12.0
485,220.0,22.0,12.0
486,220.0,22.0,12.0
487,220.0,22.0,12.0
488,220.0,22.0,12.0
489,220.0,22.0,1.0
490,113.0,22.0,1.0
491,113.0,24.0,1.0
492,113.0,24.0,1.0
493,113.0,24.0,1.0
494,113.0,24.0,1.0
495,113.0,24.0,1.0
496,70.0,19.0,1.0
497,70.0,19.0,1.0
498,70.0,19.0,1.0
499,70.0,19.0,1.0
500,70.0,19.0,1.0
501,70.0,19.0,1.0
502,87.0,17.0,1.0
503,87.0,17.0,1.0
504,87.0,17.0,1.0
505,87.0,17.0,1.0
506,87.0,17.0,0.0
507,87.0,17.0,0.0
508,87.0,37.0,0.0
509,87.0,37.0,0.0
510,87.0,37.0,0.0
511,87.0,37.0,0.0
512,87.0,37.0,0.0
513,87.0,37.0,0.0
514,19.0,30.0,0.0
515,19.0,30.0,0.0
516,19.0,30.0,0.0
517,19.0,30.0,0.0
518,19.0,30.0,0.0
519,19.0,30.0,0.0
520,17.0,18.0,0.0
521,17.0,18.0,0.0
522,17.0,18.0,0.0
523,17.0,18.0,0.0
524,17.0,18.0,5.0
525,17.0,18.0,5.0
526,21.0,12.0,5.0
527,21.0,12.0,5.0
528,21.0,12.0,5.0
529,21.0,12.0,5.0
530,21.0,12.0,13.0
531,21.0,12.0,13.0
532,41.0,14.0,13.0
533,41.0,14.0,13.0
534,41.0,14.0,13.0
535,41.0,14.0,13.0
536,41.0,14.0,17.0
537,41.0,14.0,17.0
538,41.0,20.0,17.0
539,41.0,20.0,2.0
