,pandemic_infected,pandemic_recovered,pandemic_susceptible
416,3.75e-05,0.34346750000000004,0.6506725
417,2.75e-05,0.34351625,0.6506725
418,2.5e-05,0.3435625,0.65067
419,2.25e-05,0.34360375,0.65066625
420,2e-05,0.3436325,0.65066125
421,1.625e-05,0.34366125,0.65066
422,1.4999999999999999e-05,0.3436875,0.65065875
423,1.375e-05,0.34371999999999997,0.65065625
424,1.75e-05,0.34374125,0.65065
425,1.4999999999999999e-05,0.34376625,0.65065
426,1.125e-05,0.3437825,0.65065
427,8.75e-06,0.34380375,0.65064875
428,6.25e-06,0.3438225,0.65064875
429,6.25e-06,0.34383875,0.6506475
430,7.499999999999999e-06,0.3438525,0.65064625
431,5e-06,0.34386625,0.65064625
432,5e-06,0.34388125,0.650645
433,6.25e-06,0.343895,0.65064375
434,6.25e-06,0.343915,0.65064375
435,5e-06,0.34393,0.65064375
436,5e-06,0.343945,0.6506425
437,5e-06,0.34395125,0.65064125
438,5e-06,0.34395749999999997,0.65064
439,5e-06,0.34396750000000004,0.65064
440,2.5e-06,0.343975,0.65064
441,3.75e-06,0.34398249999999997,0.65063875
442,1.25e-06,0.34398875,0.65063875
443,1.25e-06,0.34399125,0.65063875
444,1.25e-06,0.34399875,0.65063875
445,1.25e-06,0.344005,0.65063875
446,2.5e-06,0.34401375,0.6506375
447,3.75e-06,0.34401750000000003,0.65063625
448,3.75e-06,0.34402,0.6506350000000001
449,3.75e-06,0.34402125,0.6506350000000001
450,3.75e-06,0.3440225,0.6506350000000001
451,3.75e-06,0.344025,0.6506350000000001
452,5e-06,0.3440275,0.65063375
453,5e-06,0.3440275,0.65063375
454,3.75e-06,0.3440275,0.65063375
455,3.75e-06,0.34403125,0.65063375
456,3.75e-06,0.34403249999999996,0.65063375
457,3.75e-06,0.344035,0.65063375
458,3.75e-06,0.34403625,0.65063375
459,3.75e-06,0.34404,0.65063375
460,3.75e-06,0.34404125,0.65063375
461,3.75e-06,0.34404250000000003,0.65063375
462,3.75e-06,0.344045,0.65063375
463,3.75e-06,0.344045,0.65063375
464,2.5e-06,0.34404625,0.65063375
465,1.25e-06,0.34404875,0.65063375
466,0.00062,2.5e-06,0.99937375
467,0.00063875,5.875e-05,0.99922125
468,0.00078125,0.00012125,0.9989399999999999
469,0.0010375,0.000205,0.9984975
470,0.00154375,0.00031749999999999997,0.99771875
471,0.00267625,0.000515,0.99618375
472,0.0049275,0.00085125,0.99314625
473,0.00887125,0.00145375,0.98783375
474,0.015405,0.00246,0.97892625
475,0.0239175,0.0041525,0.96639875
476,0.033285,0.00678625,0.9512325
477,0.042885,0.0103425,0.93393375
478,0.051775,0.01503375,0.91528125
479,0.059957500000000004,0.02050125,0.89585875
480,0.06706125,0.026992500000000003,0.876185
481,0.07299125,0.0343475,0.85647875
482,0.07678875,0.0425975,0.8375475
483,0.0789475,0.0513625,0.8198774999999999
484,0.07991625,0.06067,0.80311625
485,0.0798275,0.07044875,0.78723
486,0.078685,0.080525,0.77261125
487,0.07699375,0.09107749999999999,0.7589375
488,0.07464875,0.10150875,0.7463274999999999
489,0.07178125,0.11200875,0.7346925
490,0.06840125,0.12269000000000001,0.7239325
491,0.06506125,0.13335999999999998,0.713955
492,0.06235625,0.14394625,0.70429125
493,0.059272500000000006,0.15436625,0.6953550000000001
494,0.05578625,0.16470375,0.68722375
495,0.052685,0.17479875,0.67947875
496,0.049785,0.184645,0.6722024999999999
497,0.0470875,0.19439,0.665285
498,0.0445925,0.20378875,0.6587274999999999
499,0.04232375,0.21303125,0.6525025
