,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_athens
295,66.0,103.0,2.0,12.0,7.0,22.0,37.0,46.0,24.0,21.0
296,66.0,103.0,2.0,12.0,7.0,22.0,37.0,46.0,24.0,21.0
297,72.0,118.0,3.0,20.0,29.0,14.0,45.0,46.0,26.0,22.0
298,72.0,118.0,3.0,20.0,29.0,14.0,45.0,46.0,26.0,22.0
299,72.0,126.0,3.0,30.0,34.0,18.0,41.0,42.0,38.0,27.0
300,72.0,126.0,3.0,30.0,34.0,18.0,41.0,42.0,38.0,27.0
301,81.0,131.0,1.0,27.0,20.0,20.0,40.0,47.0,77.0,36.0
302,81.0,131.0,1.0,27.0,20.0,20.0,40.0,47.0,77.0,36.0
303,89.0,58.0,3.0,21.0,13.0,32.0,20.0,45.0,26.0,44.0
304,89.0,58.0,3.0,21.0,13.0,32.0,20.0,45.0,26.0,44.0
305,87.0,71.0,3.0,28.0,0.0,53.0,17.0,52.0,35.0,50.0
306,87.0,71.0,3.0,28.0,0.0,53.0,17.0,52.0,35.0,50.0
307,63.0,74.0,2.0,39.0,0.0,60.0,18.0,49.0,63.0,48.0
308,63.0,74.0,2.0,39.0,0.0,60.0,18.0,49.0,63.0,48.0
309,67.0,89.0,2.0,30.0,16.0,58.0,21.0,45.0,93.0,44.0
310,67.0,89.0,2.0,30.0,16.0,58.0,21.0,45.0,93.0,44.0
