,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
599,22.0,34.0
600,29.0,61.0
601,19.0,57.0
602,20.0,44.0
603,23.0,62.0
604,15.0,49.0
605,25.0,52.0
606,11.0,48.0
607,10.0,38.0
608,24.0,50.0
609,15.0,50.0
610,30.0,44.0
611,24.0,52.0
612,18.0,50.0
613,18.0,66.0
614,19.0,50.0
615,13.0,44.0
616,21.0,53.0
617,14.0,45.0
618,18.0,53.0
619,20.0,57.0
620,19.0,52.0
621,12.0,60.0
622,19.0,46.0
623,26.0,55.0
624,20.0,47.0
625,28.0,49.0
626,20.0,39.0
627,21.0,52.0
628,22.0,57.0
629,12.0,50.0
630,19.0,44.0
631,15.0,48.0
632,20.0,47.0
633,17.0,46.0
634,31.0,47.0
635,27.0,59.0
636,15.0,61.0
637,21.0,55.0
638,24.0,51.0
639,14.0,41.0
640,22.0,46.0
641,22.0,51.0
642,14.0,54.0
643,32.0,47.0
644,23.0,37.0
645,20.0,40.0
646,14.0,46.0
647,20.0,59.0
648,25.0,53.0
649,17.0,43.0
650,24.0,59.0
651,22.0,40.0
652,23.0,51.0
653,19.0,37.0
654,19.0,42.0
655,9.0,50.0
656,15.0,45.0
657,20.0,58.0
658,14.0,46.0
659,23.0,48.0
660,11.0,47.0
661,20.0,44.0
662,23.0,51.0
663,25.0,44.0
664,23.0,48.0
665,17.0,47.0
666,14.0,48.0
667,21.0,48.0
668,23.0,48.0
669,27.0,30.0
670,13.0,38.0
671,16.0,41.0
672,30.0,55.0
673,20.0,34.0
674,20.0,44.0
675,16.0,47.0
676,20.0,46.0
677,22.0,53.0
678,22.0,50.0
679,17.0,59.0
680,27.0,53.0
681,20.0,55.0
682,17.0,56.0
683,18.0,53.0
684,23.0,53.0
685,11.0,55.0
686,18.0,44.0
687,14.0,46.0
688,20.0,44.0
689,19.0,63.0
690,16.0,46.0
691,21.0,78.0
692,19.0,47.0
693,13.0,53.0
694,11.0,45.0
695,14.0,59.0
696,22.0,50.0
697,23.0,56.0
698,25.0,42.0
699,17.0,46.0
700,19.0,58.0
701,25.0,50.0
702,29.0,47.0
703,20.0,56.0
704,21.0,61.0
705,22.0,53.0
706,26.0,49.0
707,20.0,44.0
708,21.0,48.0
709,21.0,40.0
710,16.0,41.0
711,14.0,38.0
712,23.0,62.0
713,27.0,46.0
714,26.0,61.0
715,20.0,51.0
716,26.0,45.0
717,22.0,51.0
718,24.0,52.0
719,23.0,38.0
720,24.0,49.0
721,16.0,45.0
722,19.0,37.0
723,23.0,44.0
724,17.0,43.0
725,28.0,42.0
726,34.0,43.0
727,20.0,51.0
728,16.0,58.0
729,22.0,50.0
730,12.0,51.0
731,23.0,45.0
732,21.0,49.0
733,28.0,34.0
734,28.0,51.0
735,26.0,57.0
736,18.0,58.0
737,23.0,45.0
738,17.0,54.0
739,15.0,54.0
740,23.0,53.0
741,24.0,44.0
742,24.0,48.0
743,18.0,54.0
744,18.0,39.0
745,16.0,46.0
746,16.0,51.0
747,14.0,45.0
748,17.0,56.0
749,17.0,55.0
750,18.0,56.0
751,25.0,49.0
752,19.0,53.0
753,20.0,68.0
754,18.0,38.0
755,26.0,45.0
756,12.0,56.0
757,23.0,46.0
758,18.0,46.0
759,12.0,45.0
760,16.0,44.0
761,21.0,47.0
762,16.0,48.0
763,13.0,53.0
764,21.0,45.0
765,15.0,37.0
766,18.0,43.0
767,24.0,47.0
768,24.0,48.0
769,17.0,61.0
770,19.0,58.0
771,17.0,39.0
772,39.0,55.0
773,15.0,51.0
774,18.0,44.0
775,14.0,64.0
776,17.0,46.0
777,14.0,43.0
778,21.0,47.0
779,28.0,49.0
780,16.0,48.0
781,24.0,51.0
782,20.0,50.0
783,24.0,33.0
784,18.0,45.0
785,22.0,61.0
786,20.0,57.0
787,13.0,47.0
788,23.0,42.0
789,15.0,62.0
790,22.0,47.0
791,22.0,49.0
792,32.0,48.0
793,22.0,44.0
794,21.0,58.0
795,15.0,51.0
796,21.0,45.0
797,21.0,51.0
798,31.0,62.0
799,21.0,59.0
800,14.0,44.0
801,22.0,42.0
